,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 73596,15.482037421522481,1,1,1,0,0,3,1,6.961666666666667
declaration 73594,131.5973180829411,1,1,1,0,0,3,1,6.958136574074074
declaration 73592,164.28161930615522,1,1,1,0,0,3,1,6.952847222222222
declaration 73584,208.14739200046893,1,1,1,0,0,3,1,5.978391203703704
declaration 73578,146.219242314379,1,1,1,0,0,3,1,3.1860648148148147
declaration 73586,265.77497573613596,1,1,1,0,0,3,1,5.992337962962963
declaration 73580,14.6219242314379,1,1,1,0,0,3,1,3.1963310185185185
declaration 73576,293.29859781884255,1,1,1,0,0,3,1,3.1830671296296296
declaration 73566,31.824188033129545,1,1,1,0,0,3,1,6.022905092592593
declaration 73574,535.8505174226948,1,1,1,0,0,3,1,3.0877199074074073
declaration 73572,526.3892723317643,1,1,1,0,0,3,1,10.075891203703703
declaration 73588,188.3647886285235,1,1,1,0,0,3,1,8.26082175925926
declaration 73590,255.45361745512093,1,1,1,0,0,3,1,6.297743055555555
declaration 73570,31.824188033129545,1,1,1,0,0,3,1,6.167453703703703
declaration 73564,61.06803649600534,1,1,1,0,0,3,1,6.010416666666667
declaration 73568,305.3401824800267,1,1,1,0,0,3,1,6.158287037037037
declaration 72590,14.569043850933994,1,1,0,0,0,2,1,15.96613425925926
declaration 74628,0.0,1,0,0,0,0,1,0,0.0
declaration 72817,614.0805294164306,1,1,0,0,0,2,1,7.149606481481482
declaration 76810,42.903031715630824,1,0,0,0,0,1,1,22.11337962962963
declaration 76291,6.278492446189876,1,0,0,0,0,1,1,22.106342592592593
declaration 76685,246.37524517264168,1,0,0,0,0,1,1,6.059525462962963
declaration 76038,635.2514478871398,1,1,0,0,0,2,1,3.0475578703703703
declaration 74088,279.06558808889054,1,0,0,0,0,1,1,6.9734375
declaration 76299,198.58748831686427,1,0,0,0,0,1,1,6.2287384259259255
declaration 73662,46.06601549799594,1,0,0,0,0,1,1,10.812962962962963
declaration 76308,95.09987739174827,1,0,0,0,0,1,1,6.342337962962963
declaration 76186,1054.6740294960018,1,1,0,0,0,2,1,14.939675925925926
declaration 73012,321.6155568566093,1,1,1,0,0,3,1,91.04012731481481
declaration 73010,763.8369475344472,1,1,1,0,0,3,1,57.244479166666665
declaration 76318,2196.992008934237,1,0,1,0,0,2,1,3.3457291666666666
declaration 76549,319.85866559908953,1,1,0,0,0,2,1,6.959710648148148
declaration 73728,821.9636065443057,1,0,0,0,0,1,1,4.104861111111111
declaration 76197,74.64153283360672,1,1,0,0,0,2,1,10.129895833333334
declaration 73740,264.73827200900377,1,0,0,0,0,1,1,7.123194444444445
declaration 77110,920.1943612037388,1,1,0,0,0,2,1,7.307002314814815
declaration 76215,588.7704881983716,1,1,1,0,0,3,1,3.316666666666667
declaration 77880,402.8060897102356,1,1,0,0,0,2,1,13.153136574074074
declaration 72863,1294.0226951971447,1,0,0,0,0,1,1,11.974317129629629
declaration 72381,577.4127774252486,1,0,0,0,0,1,1,16.12320601851852
declaration 76818,1018.3208900332536,1,0,1,0,0,2,1,14.258055555555556
declaration 74191,449.81856725107684,1,0,0,0,0,1,1,7.192256944444445
declaration 76329,461.28935038680555,1,0,0,0,0,1,1,7.398125
declaration 73798,610.4095311512791,1,0,0,0,0,1,1,5.173738425925926
declaration 73029,4197.653086949198,1,0,1,0,0,2,1,18.073981481481482
declaration 75907,2594.541203608695,1,1,1,0,0,3,1,17.02891203703704
declaration 76388,829.6059623580447,1,0,0,0,0,1,1,7.250150462962963
declaration 77786,636.7432134041993,1,0,0,0,0,1,1,10.007314814814816
declaration 73750,555.115436664515,1,0,0,0,0,1,1,4.230520833333333
declaration 77794,512.7394496069627,1,0,0,0,0,1,1,12.18431712962963
declaration 73678,949.0143076514539,1,1,0,0,0,2,1,10.094328703703704
declaration 75856,291.94621852310723,1,1,0,0,0,2,1,9.281574074074074
declaration 75865,904.5963767130293,1,0,1,0,0,2,1,8.919085648148148
declaration 76898,817.5914781510862,1,1,0,0,0,2,1,17.2565625
declaration 72392,305.44251572977157,1,1,0,0,0,2,1,8.95980324074074
declaration 72871,108.5841793881333,1,0,0,0,0,1,1,10.83605324074074
declaration 75923,108.5841793881333,1,0,0,0,0,1,1,10.834872685185186
declaration 72545,164.3456784334982,1,0,0,0,0,1,1,6.200289351851852
declaration 73279,828.9897678077698,1,0,0,0,0,1,1,4.348194444444444
declaration 73687,571.109840096693,1,0,0,0,0,1,1,16.37644675925926
declaration 73670,297.7114185811092,1,0,0,0,0,1,1,88.00685185185185
declaration 76151,1064.9478995751276,1,0,0,0,0,1,1,8.11587962962963
declaration 76398,1234.7257414644885,1,1,1,0,0,3,1,30.02891203703704
declaration 72535,126.7248891556553,1,1,0,0,0,2,1,8.05900462962963
declaration 73695,264.428145894452,1,1,0,0,0,2,1,9.869398148148148
declaration 76563,109.76016155524674,1,0,0,0,0,1,1,6.151435185185186
declaration 76571,330.5238334240676,1,0,0,0,0,1,1,5.2734606481481485
declaration 73248,292.5022213192594,1,1,0,0,0,2,1,7.007928240740741
declaration 73705,615.4507705081814,1,1,0,0,0,2,1,14.25017361111111
declaration 73758,350.45087788935757,1,1,0,0,0,2,1,7.236365740740741
declaration 72581,887.756339103456,1,1,0,0,0,2,1,37.21350694444445
declaration 73718,243.26726099514786,1,1,0,0,0,2,1,13.251087962962963
declaration 73041,637.7285974465609,1,0,0,0,0,1,1,7.392453703703704
declaration 76426,1460.7135789375286,1,0,0,0,0,1,1,45.947604166666665
declaration 77017,561.5938799628029,1,1,0,0,0,2,1,3.288472222222222
declaration 73845,258.0964317337797,1,1,0,0,0,2,1,11.326041666666667
declaration 76836,262.62092190438665,1,1,0,0,0,2,1,7.003796296296296
declaration 76159,243.28597245813958,1,1,0,0,0,2,1,6.990185185185185
declaration 77374,943.2928285279097,1,0,0,0,0,1,1,13.246689814814815
declaration 73260,649.3200489476726,1,0,0,0,0,1,1,11.101064814814816
declaration 73856,813.6883476826223,1,1,0,0,0,2,1,8.37193287037037
declaration 76581,390.15878341728245,1,1,0,0,0,2,1,8.211782407407407
declaration 72341,1841.8674543881805,1,1,0,0,0,2,1,12.136388888888888
declaration 76414,209.25899941212887,1,1,0,0,0,2,1,6.384409722222222
declaration 77382,192.5786530954656,1,1,0,0,0,2,1,7.198159722222222
declaration 77892,1714.8144734505863,1,1,0,0,0,2,1,8.095393518518518
declaration 72921,95.58015675591552,1,0,0,0,0,1,1,14.324444444444444
declaration 73828,435.5294909439887,1,0,0,0,0,1,1,6.005810185185185
declaration 72929,103.36083680296987,1,0,0,0,0,1,1,3.225011574074074
declaration 76275,1277.0839905334874,1,0,0,0,0,1,1,3.978738425925926
declaration 74100,239.65064953953149,1,0,0,0,0,1,1,5.992638888888889
declaration 73271,73.50103950433413,1,0,0,0,0,1,1,3.2711111111111113
declaration 76596,1358.911344511285,1,0,1,0,0,2,1,33.033425925925926
declaration 72605,139.2583191431625,1,0,0,0,0,1,1,10.231111111111112
declaration 73051,306.5583650402349,1,0,0,0,0,1,1,6.849131944444444
declaration 76828,116.11685555522203,1,0,0,0,0,1,1,7.270810185185185
declaration 76337,1638.4817597055992,1,1,1,0,0,3,1,8.246493055555556
declaration 76908,1919.957246532397,1,0,1,0,0,2,1,21.16784722222222
declaration 76606,315.7940805185064,1,0,0,0,0,1,1,3.943460648148148
declaration 75791,602.9403737675983,1,0,0,0,0,1,1,18.128796296296297
declaration 73869,916.4525723983608,1,1,0,0,0,2,1,7.072523148148148
declaration 73806,2746.04324134554,1,1,0,0,0,2,1,13.048645833333333
declaration 74038,5397.805464942537,1,0,1,0,0,2,1,13.290138888888889
declaration 74634,513.0902326403235,1,0,0,0,0,1,1,5.115891203703704
declaration 77904,587.9265064785214,1,0,0,0,0,1,1,23.79803240740741
declaration 73775,266.5452180554409,1,1,0,0,0,2,1,12.280277777777778
declaration 72631,374.1739415985759,1,0,0,0,0,1,1,7.156909722222222
declaration 73059,105.17075862180857,1,0,0,0,0,1,1,7.303425925925926
declaration 76047,829.5560176491686,1,0,1,0,0,2,1,7.223877314814815
declaration 76283,1525.3442532655758,1,0,0,0,0,1,1,7.259976851851852
declaration 74056,88.23394089750258,1,0,0,0,0,1,1,13.271689814814815
declaration 74064,1698.5033622769245,1,0,1,0,0,2,1,6.327928240740741
declaration 73784,463.8420222496397,1,0,0,0,0,1,1,9.247303240740742
declaration 73879,284.16068219333147,1,1,0,0,0,2,1,4.195868055555556
declaration 73888,534.2568988222456,1,0,0,0,0,1,1,8.309444444444445
declaration 73899,1707.3234948256236,1,0,0,0,0,1,1,10.3384375
declaration 74642,1669.9061558176381,1,0,0,0,0,1,1,6.243344907407407
declaration 76922,1457.1067471184144,1,0,0,0,0,1,1,6.055729166666667
declaration 76938,159.71269246864074,1,1,0,0,0,2,1,42.22831018518519
declaration 74110,1304.2455598821934,1,0,1,0,0,2,1,28.063194444444445
declaration 76240,93.69695000414818,1,0,0,0,0,1,1,5.1705902777777775
declaration 74120,521.8603656397789,1,1,0,0,0,2,1,23.14790509259259
declaration 75799,206.15197049071602,1,1,0,0,0,2,1,12.24017361111111
declaration 76701,75.63296805234478,1,1,0,0,0,2,1,20.09613425925926
declaration 73820,1774.3280879505871,1,0,0,0,0,1,1,13.304224537037037
declaration 73914,71.49503891491838,1,1,0,0,0,2,1,18.275243055555556
declaration 77397,1621.632784931646,1,1,0,0,0,2,1,4.2962847222222225
declaration 74073,2291.4969556565084,1,1,0,0,0,2,1,19.146516203703705
declaration 72941,1915.4564296000558,1,1,0,0,0,2,1,37.188715277777774
declaration 76714,656.7652243277629,1,1,0,0,0,2,1,14.953819444444445
declaration 74135,758.6095334680521,1,1,0,0,0,2,1,29.06736111111111
declaration 76974,0.0,1,1,0,0,0,2,1,26.060381944444444
declaration 74152,228.41272172818083,1,1,0,0,0,2,1,8.059988425925926
declaration 74279,230.74628476784326,1,0,0,0,0,1,1,6.301793981481482
declaration 73923,689.6677478543983,1,0,0,0,0,1,1,3.2767476851851853
declaration 74287,1612.9855239860462,1,0,1,0,0,2,1,13.041354166666666
declaration 73935,64.55806696299429,1,1,0,0,0,2,1,7.112824074074074
declaration 76231,254.32230545846878,1,1,0,0,0,2,1,2.2547106481481483
declaration 73071,410.46290253972893,1,1,0,0,0,2,1,9.09113425925926
declaration 72623,390.5237269291531,1,0,0,0,0,1,1,7.338888888888889
declaration 73963,1024.1285491917586,1,0,0,0,0,1,1,9.324305555555556
declaration 74296,1322.3584970472189,1,0,0,0,0,1,1,7.186446759259259
declaration 72962,245.80984631500644,1,0,0,0,0,1,1,13.09142361111111
declaration 73080,1910.8674037260005,1,1,0,0,0,2,1,10.099178240740741
declaration 72971,335.4363369354723,1,1,0,0,0,2,1,5.276365740740741
declaration 74305,612.1532135729506,1,1,0,0,0,2,1,7.265208333333334
declaration 74315,36.41341839618685,1,0,0,0,0,1,1,9.095925925925926
declaration 73971,202.07824788723198,1,1,0,0,0,2,1,6.195949074074074
declaration 73089,747.6226227813434,1,1,0,0,0,2,1,14.289375
declaration 74161,414.58689725592535,1,0,0,0,0,1,1,14.187025462962962
declaration 72982,261.51279531383057,1,1,0,0,0,2,1,8.10724537037037
declaration 74169,62.403855158476695,1,1,0,0,0,2,1,17.35960648148148
declaration 74171,1242.27209338735,1,1,0,0,0,2,1,18.099270833333332
declaration 74650,308.13527744725394,1,1,0,0,0,2,1,10.050011574074073
declaration 77568,420.5935885177308,1,1,0,0,0,2,1,9.023900462962963
declaration 73099,164.85981959107994,1,1,0,0,0,2,1,6.265775462962963
declaration 72995,354.04665637970527,1,0,0,0,0,1,1,20.159444444444443
declaration 77577,2138.75861423529,1,1,0,0,0,2,1,7.2509143518518515
declaration 77587,327.33738228760257,1,0,0,0,0,1,1,11.98423611111111
declaration 74183,453.48546232634135,1,0,0,0,0,1,1,12.375625
declaration 73288,270.9723222159146,1,1,0,0,0,2,1,10.261099537037037
declaration 73298,367.13990504353666,1,1,0,0,0,2,1,5.885578703703704
declaration 73981,0.0,1,0,0,0,0,1,0,0.0
declaration 76863,520.1753287415454,1,1,0,0,0,2,1,6.108888888888889
declaration 75809,748.878270432576,1,0,0,0,0,1,1,7.339016203703704
declaration 76987,217.68212320602,1,1,0,0,0,2,1,6.247071759259259
declaration 76996,527.1447881594719,1,0,0,0,0,1,1,10.150787037037038
declaration 76624,151.2353341116962,1,1,0,0,0,2,1,16.253020833333334
declaration 76350,658.7305437004752,1,0,0,0,0,1,1,11.940231481481481
declaration 77595,780.5149333431573,1,1,0,0,0,2,1,14.718587962962962
declaration 72639,451.5192648022272,1,1,0,0,0,2,1,5.2640162037037035
declaration 76873,300.166106025368,1,0,0,0,0,1,1,14.248576388888889
declaration 75125,2548.1017184520774,1,0,1,0,0,2,1,10.792268518518519
declaration 75817,245.5167468350225,1,1,0,0,0,2,1,7.15943287037037
declaration 77607,1211.0163382809926,1,0,1,0,0,2,1,13.121331018518518
declaration 76254,271.98759595456227,1,1,0,0,0,2,1,16.010104166666668
declaration 72648,334.29745991134644,1,1,0,0,0,2,1,5.065543981481482
declaration 73160,301.4239269225923,1,1,0,0,0,2,1,10.089560185185185
declaration 77026,56.44865498254377,1,0,0,0,0,1,1,6.168564814814815
declaration 74327,395.06808733579595,1,0,0,0,0,1,1,3.3405555555555555
declaration 77126,212.46394231721584,1,0,0,0,0,1,1,6.247476851851852
declaration 74335,385.0905766994647,1,0,0,0,0,1,1,5.332835648148148
declaration 74493,807.933873409649,1,0,0,0,0,1,1,6.054282407407407
declaration 74491,105.49455034966755,1,0,0,0,0,1,1,6.330775462962963
declaration 77004,455.0176948955581,1,1,0,0,0,2,1,23.167708333333334
declaration 75832,192.13213658458554,1,1,0,0,0,2,1,17.163287037037037
declaration 74506,104.91024600809115,1,1,0,0,0,2,1,37.092893518518515
declaration 74343,73.68952974655502,1,0,0,0,0,1,1,3.2692592592592593
declaration 77188,4717.339943676869,1,0,0,0,0,1,1,7.20443287037037
declaration 74351,340.12955845539983,1,1,0,0,0,2,1,7.331736111111111
declaration 77138,291.477803110207,1,1,0,0,0,2,1,3.1222685185185184
declaration 77034,637.1775695819274,1,1,0,0,0,2,1,21.11054398148148
declaration 74745,345.7360978835379,1,1,0,0,0,2,1,13.255740740740741
declaration 73170,168.21258215378117,1,1,0,0,0,2,1,8.255717592592593
declaration 75848,421.8058209507364,1,0,0,0,0,1,1,9.18068287037037
declaration 73998,142.3101150378045,1,1,0,0,0,2,1,3.2545254629629627
declaration 74523,523.4154423155987,1,1,0,0,0,2,1,8.2478125
declaration 74836,810.7865115797405,1,1,0,0,0,2,1,4.97619212962963
declaration 74008,495.83491895093425,1,0,0,0,0,1,1,5.298229166666666
declaration 76637,1178.2132963698514,1,0,0,0,0,1,1,17.412881944444443
declaration 76652,1728.8108868848308,1,0,1,0,0,2,1,17.163356481481483
declaration 73182,868.9837028295675,1,0,0,0,0,1,1,7.041944444444445
declaration 76178,981.7378983805406,1,0,0,0,0,1,1,10.139363425925925
declaration 77213,546.7520505223684,1,0,0,0,0,1,1,10.071631944444444
declaration 76358,35.05491615789348,1,0,0,0,0,1,1,9.087650462962962
declaration 74549,436.3552250101964,1,0,0,0,0,1,1,9.10074074074074
declaration 74022,79.40632377567884,1,1,0,0,0,2,1,10.203726851851853
declaration 75135,289.1709217631373,1,1,0,0,0,2,1,13.22193287037037
declaration 77221,419.6882589002159,1,0,0,0,0,1,1,5.324502314814815
declaration 76366,406.9704328729366,1,0,0,0,0,1,1,5.318888888888889
declaration 76436,337.78736061369784,1,1,0,0,0,2,1,9.193680555555556
declaration 75935,302.06451928026377,1,1,0,0,0,2,1,7.088159722222223
declaration 75933,48.91733105753259,1,1,0,0,0,2,1,3.0977662037037037
declaration 77619,915.3571778668792,1,1,0,0,0,2,1,12.27125
declaration 75949,1168.6509407884446,1,0,1,0,0,2,1,33.91369212962963
declaration 73310,513.9025705383827,1,1,0,0,0,2,1,13.845046296296296
declaration 73327,2559.330481922457,1,0,1,0,0,2,1,3.0592939814814817
declaration 73194,430.85922295849593,1,1,0,0,0,2,1,23.251921296296295
declaration 75963,446.276031312943,1,1,0,0,0,2,1,24.24471064814815
declaration 74673,1261.8975315613086,1,0,0,0,0,1,1,6.072199074074074
declaration 73219,51.84517971330086,1,1,0,0,0,2,1,34.11138888888889
declaration 75985,46.51690361886625,1,0,0,0,0,1,1,8.09306712962963
declaration 73232,460.6564986211817,1,0,0,0,0,1,1,13.049328703703704
declaration 74229,204.1304573218068,1,1,0,0,0,2,1,14.305300925925925
declaration 74361,1085.4666626672843,1,0,0,0,0,1,1,6.326076388888889
declaration 77806,293.78166098160364,1,1,0,0,0,2,1,20.053819444444443
declaration 74681,492.06016266998597,1,1,0,0,0,2,1,18.138136574074075
declaration 73240,302.1854405111465,1,0,0,0,0,1,1,5.275497685185186
declaration 77816,491.22149568295663,1,0,0,0,0,1,1,20.13740740740741
declaration 74755,1471.2689027971032,1,1,0,0,0,2,1,27.09060185185185
declaration 75145,1110.875511011024,1,1,0,0,0,2,1,27.101296296296297
declaration 77230,1214.4812296217117,1,1,0,0,0,2,1,17.189131944444444
declaration 77827,700.2227272815406,1,1,1,0,0,3,1,14.331689814814816
declaration 76851,771.5707420156019,1,0,0,0,0,1,1,6.868159722222222
declaration 76742,721.8620617233818,1,0,0,0,0,1,1,7.182291666666667
declaration 77272,354.14787005885705,1,0,0,0,0,1,1,7.19287037037037
declaration 74243,194.23187632515487,1,1,0,0,0,2,1,31.19019675925926
declaration 74559,279.7994260753943,1,1,0,0,0,2,1,14.259016203703704
declaration 78004,492.3123468119478,1,0,0,0,0,1,1,10.028993055555556
declaration 77287,57.68291308917396,1,0,0,0,0,1,1,12.320474537037038
declaration 74569,252.38290303371417,1,1,0,0,0,2,1,17.273483796296297
declaration 74583,2065.0302424314773,1,1,1,0,0,3,1,14.122291666666667
declaration 73447,1157.330142799039,1,1,0,0,0,2,1,83.29092592592593
declaration 74252,0.0,1,0,1,0,0,2,0,0.0
declaration 78012,291.2358870911775,1,1,0,0,0,2,1,13.30912037037037
declaration 74199,2134.018567384859,1,0,1,0,0,2,1,27.08246527777778
declaration 76378,1697.4313876963809,1,0,1,0,0,2,1,19.317210648148148
declaration 74937,342.2395472620643,1,1,0,0,0,2,1,5.182986111111111
declaration 78022,860.1841865394758,1,1,0,0,0,2,1,19.264722222222222
declaration 76750,338.41532143929817,1,0,0,0,0,1,1,10.245300925925926
declaration 74211,128.61730020674298,1,1,1,0,0,3,1,36.053263888888885
declaration 78035,414.26396830862353,1,1,0,0,0,2,1,6.000532407407407
declaration 76760,355.0951791407845,1,1,0,0,0,2,1,27.220289351851854
declaration 78045,147.58927909225272,1,1,0,0,0,2,1,4.285393518518519
declaration 76465,482.8114401312454,1,1,0,0,0,2,1,7.0207291666666665
declaration 74849,554.7185973014956,1,0,1,0,0,2,1,23.135844907407407
declaration 74865,33.923151304682534,1,1,0,0,0,2,1,4.347291666666667
declaration 74605,1233.3661692921187,1,1,0,0,0,2,1,3.2888078703703703
declaration 74765,408.65711003351333,1,1,0,0,0,2,1,13.2203125
declaration 78055,262.61501911346295,1,1,0,0,0,2,1,25.205532407407407
declaration 74260,489.5120816547854,1,1,0,0,0,2,1,6.250821759259259
declaration 77480,3742.222018315328,1,0,1,0,0,2,1,6.285833333333334
declaration 77490,1556.2261325797017,1,0,1,0,0,2,1,8.150590277777777
declaration 74879,645.0172714042257,1,1,0,0,0,2,1,46.18612268518518
declaration 75371,3636.3284626402906,1,0,1,0,0,2,1,9.120925925925926
declaration 75215,111.96642697908064,1,1,0,0,0,2,1,49.113125
declaration 75213,230.03003562533894,1,1,0,0,0,2,1,31.991377314814816
declaration 76475,276.23252001946753,1,0,0,0,0,1,1,4.289155092592592
declaration 85687,69.70719675698393,1,0,0,0,0,1,1,4.139641203703704
declaration 75231,471.5327315070691,1,1,0,0,0,2,1,5.151122685185185
declaration 75243,92.19921751585107,1,0,0,0,0,1,1,107.84680555555556
declaration 74269,129.76713908589267,1,1,0,0,0,2,1,11.136631944444444
declaration 76788,90.5970016658386,1,1,0,0,0,2,1,14.977233796296296
declaration 74984,498.3495852106964,1,0,1,0,0,2,1,14.076446759259259
declaration 75257,902.1434876155324,1,1,0,0,0,2,1,6.380046296296296
declaration 75267,415.64965850510396,1,1,0,0,0,2,1,10.993287037037037
declaration 74369,585.434852455943,1,0,0,0,0,1,1,6.249027777777778
